MODELO;SERIAL ;UBICACION;INCIDENTE ;FECHA DE SOLICITUD;O.S;FECHA DE SERVICIO;TRABAJO REALIZADO POR ST - OBSERVACIONES;UBICACION;RESPONSABLE
P3045dn;VM38Z28188;SEC. ACADEMICA COMUNICACION;MANCHAS IMPRESION;24/07/2025;OS 4256400;25/07/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
MA5500IFX;WDS3X13723;DEPARTAMENTO JURÍDICO;RUIDO ;24/07/2025;OS 4256402;25/07/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3045dn;VM38Z28190;PLANTA CERVECERIA ;TARRO DE DESECHO ;30/07/2025;OS 4260980;31/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3155dn;R4A2X53611;ALMACEN LABORATORIOS ;MANCHAS EN IMP;30/07/2025;OS 4260992;31/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
P3045dn;VM38Z27972;MICROBIOLOGIA;RUIDO ;30/07/2025;OS 4261000;31/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
MA5500ifx;WDS3X13124;METROLOGIA;MANCHAS EN IMP;30/07/2025;OS  4261004;31/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;CAMACHO
M3655idn;R4P8916497;FACULTAD DE INGENIERIA ;MANCHAS EN IMP;30/07/2025;OS 4261712;31/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
M3145idn;R4V8802497;JARDIN SANTIAGUITOS;MANCHAS EN IMP;31/07/2025;OS 4261986;31/07/2025;LIMPIEZA Y MANTENIMIENTO;PAMPALINDA;JESUS
P3045dn;VM38Z27900;TECNICOS LABORALES 2       B1P3;RAYAS IMPRESION;8/01/2025;OS 4262270;7/01/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
M3145idn;R4V8802499;CONVENIOS  SALUD_B1P4;MANCHAS IMPRESION;8/01/2025;OS 4263148;8/01/2025;UNIDAD FUSORA;PAMPALINDA;CAMACHO
M3145idn;R4V8802382;DIRECCION GESTION DE LA CALIDAD;RAYAS IMPRESION;8/01/2025;OS 4263398;8/01/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
P3155dn;R4A2X53354;DIRECCION LABORATORIOS B4-P3;RUIDO ;8/01/2025;OS 4263440;8/01/2025;LIMPIEZA ;PAMPALINDA;CAMACHO
